cell,x_cm,g1,g2
190,  1.39557552E+01,  1.26188519E+00,  1.72433471E-01
191,  1.40351621E+01,  1.26481411E+00,  1.72482399E-01
192,  1.41107513E+01,  1.27026781E+00,  1.61164749E-01
193,  1.41825229E+01,  1.27531761E+00,  1.57099771E-01
194,  1.42542945E+01,  1.28174562E+00,  1.54270273E-01
195,  1.43260660E+01,  1.27761760E+00,  1.52111106E-01
196,  1.43978376E+01,  1.26559975E+00,  1.50037901E-01
197,  1.44696092E+01,  1.26575141E+00,  1.53414157E-01
198,  1.45413808E+01,  1.26709981E+00,  1.51471947E-01
199,  1.46131524E+01,  1.26245185E+00,  1.51067874E-01
200,  1.46849240E+01,  1.26438388E+00,  1.54263998E-01
201,  1.47566955E+01,  1.26307672E+00,  1.57629580E-01
202,  1.48284671E+01,  1.26317523E+00,  1.56465057E-01
203,  1.49002387E+01,  1.26742232E+00,  1.59427028E-01
204,  1.49720103E+01,  1.26436973E+00,  1.62900085E-01
205,  1.50475995E+01,  1.24972596E+00,  1.69809064E-01
206,  1.51270064E+01,  1.25369234E+00,  1.74959949E-01
207,  1.52064132E+01,  1.25448427E+00,  1.72025522E-01
208,  1.52858201E+01,  1.26031483E+00,  1.68997713E-01
209,  1.53614093E+01,  1.26863659E+00,  1.60763977E-01
210,  1.54331809E+01,  1.25840518E+00,  1.60394902E-01
211,  1.55049525E+01,  1.25530888E+00,  1.60315792E-01
212,  1.55767241E+01,  1.25221008E+00,  1.55734839E-01
213,  1.56484956E+01,  1.25980542E+00,  1.54025339E-01
214,  1.57202672E+01,  1.26271437E+00,  1.54978791E-01
215,  1.57920388E+01,  1.25726679E+00,  1.57817200E-01
216,  1.58638104E+01,  1.26324482E+00,  1.55981263E-01
217,  1.59355820E+01,  1.27135509E+00,  1.56433339E-01
218,  1.60073536E+01,  1.26261383E+00,  1.55648255E-01
219,  1.60791251E+01,  1.25163835E+00,  1.61227415E-01
220,  1.61508967E+01,  1.26118706E+00,  1.61910685E-01
221,  1.62226683E+01,  1.25528817E+00,  1.62956892E-01
222,  1.62982575E+01,  1.24689183E+00,  1.65355980E-01
223,  1.63776644E+01,  1.23526417E+00,  1.66787225E-01
224,  1.64570712E+01,  1.23567535E+00,  1.69932956E-01
225,  1.65364781E+01,  1.24111447E+00,  1.69153056E-01
226,  1.66120673E+01,  1.25120656E+00,  1.58645325E-01
227,  1.66838389E+01,  1.24531867E+00,  1.54007200E-01
228,  1.67556105E+01,  1.24054248E+00,  1.54699359E-01
229,  1.68273821E+01,  1.24190949E+00,  1.52602044E-01
230,  1.68991536E+01,  1.24003122E+00,  1.50819248E-01
231,  1.69709252E+01,  1.24764520E+00,  1.53889467E-01
232,  1.70426968E+01,  1.25036885E+00,  1.50605964E-01
233,  1.71144684E+01,  1.24350766E+00,  1.49391508E-01
234,  1.71862400E+01,  1.24766067E+00,  1.52138541E-01
235,  1.72580116E+01,  1.25201020E+00,  1.52515496E-01
236,  1.73297831E+01,  1.23995417E+00,  1.55439493E-01
237,  1.74015547E+01,  1.24066068E+00,  1.57184799E-01
238,  1.74733263E+01,  1.23536612E+00,  1.60242821E-01
239,  1.75489155E+01,  1.23300940E+00,  1.68457127E-01
240,  1.76283224E+01,  1.23167062E+00,  1.66457261E-01
241,  1.77077292E+01,  1.23611673E+00,  1.68552428E-01
242,  1.77871361E+01,  1.24375206E+00,  1.65783991E-01
243,  1.78627253E+01,  1.25277304E+00,  1.61210084E-01
244,  1.79344969E+01,  1.24560459E+00,  1.55891595E-01
245,  1.80062685E+01,  1.25304650E+00,  1.50879128E-01
246,  1.80780401E+01,  1.25442662E+00,  1.50772997E-01
247,  1.81498117E+01,  1.25858305E+00,  1.51085425E-01
248,  1.82215832E+01,  1.24626200E+00,  1.49647055E-01
249,  1.82933548E+01,  1.24089582E+00,  1.47096131E-01
250,  1.83651264E+01,  1.25251163E+00,  1.48243646E-01
251,  1.84368980E+01,  1.25486939E+00,  1.52361674E-01
