cell,x_cm,dx,sigtr_g1,sigtr_g2,sigcap_g1,sigcap_g2,sigf_g1,sigf_g2,sigs12,nu_g1,nu_g2
132,14.85652163,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
133,14.97847815,.15521739,.20000000,1.10000002,.00000000,.00000000,.00000000,.00000000,.03000000,.00000000,.00000000
134,15.13369554,.15521739,.20000000,1.10000002,.00000000,.00000000,.00000000,.00000000,.03000000,.00000000,.00000000
135,15.28891293,.15521739,.20000000,1.10000002,.00000000,.00000000,.00000000,.00000000,.03000000,.00000000,.00000000
136,15.44413032,.15521739,.20000000,1.10000002,.00000000,.00000000,.00000000,.00000000,.03000000,.00000000,.00000000
137,15.56608684,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
138,15.65478249,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
139,15.74347814,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
140,15.83217379,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
141,15.92086944,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
142,16.00956510,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
143,16.09826075,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
144,16.22021727,.15521739,.20000000,1.10000002,.00000000,.00000000,.00000000,.00000000,.03000000,.00000000,.00000000
145,16.37543466,.15521739,.20000000,1.10000002,.00000000,.00000000,.00000000,.00000000,.03000000,.00000000,.00000000
146,16.53065205,.15521739,.20000000,1.10000002,.00000000,.00000000,.00000000,.00000000,.03000000,.00000000,.00000000
147,16.68586944,.15521739,.20000000,1.10000002,.00000000,.00000000,.00000000,.00000000,.03000000,.00000000,.00000000
148,16.80782596,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
149,16.89652161,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
150,16.98521726,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
151,17.07391291,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
152,17.16260857,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
153,17.25130422,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
154,17.33999987,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
155,17.46195639,.15521739,.20000000,1.10000002,.00000000,.00000000,.00000000,.00000000,.03000000,.00000000,.00000000
156,17.61717378,.15521739,.20000000,1.10000002,.00000000,.00000000,.00000000,.00000000,.03000000,.00000000,.00000000
157,17.77239117,.15521739,.20000000,1.10000002,.00000000,.00000000,.00000000,.00000000,.03000000,.00000000,.00000000
158,17.92760856,.15521739,.20000000,1.10000002,.00000000,.00000000,.00000000,.00000000,.03000000,.00000000,.00000000
159,18.04956508,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
160,18.13826073,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
161,18.22695638,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
162,18.31565204,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
163,18.40434769,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
164,18.49304334,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
165,18.58173899,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
166,18.70369551,.15521739,.20000000,1.10000002,.00000000,.00000000,.00000000,.00000000,.03000000,.00000000,.00000000
167,18.85891290,.15521739,.20000000,1.10000002,.00000000,.00000000,.00000000,.00000000,.03000000,.00000000,.00000000
168,19.01413029,.15521739,.20000000,1.10000002,.00000000,.00000000,.00000000,.00000000,.03000000,.00000000,.00000000
169,19.16934768,.15521739,.20000000,1.10000002,.00000000,.00000000,.00000000,.00000000,.03000000,.00000000,.00000000
170,19.29130420,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
171,19.37999985,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
172,19.46869550,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
173,19.55739116,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
174,19.64608681,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
175,19.73478246,.08869565,.20000000,1.00000000,.00000000,.02000000,.00000000,.18000001,.01500000,.00000000,1.39999998
