cell,x_cm,g1,g2,g3,g4,g5,g6,g7
167,17.353707006009241,0.17264780425978990,0.49879987588898395,0.20214324951886400,0.59432897035905950E-1,0.42444382434818441E-1,0.33073539543736249E-1,0.22398794867655045E-1
168,17.457377070632543,0.17250135585133450,0.49820575390823280,0.20241301747699472,0.59773338850313155E-1,0.42490249184945629E-1,0.33234893760780648E-1,0.22773616485643123E-1
169,17.562150007234766,0.17232376412580389,0.49734084126338446,0.20280689466651128,0.60229570198812060E-1,0.42589707011918401E-1,0.33676285587655119E-1,0.24180230261224428E-1
170,17.668025815815913,0.17226003010303795,0.49700107152851491,0.20294679014012137,0.60385516255261680E-1,0.42634802152241733E-1,0.33899650113691504E-1,0.24954606514905407E-1
171,17.773901624397059,0.17230210671764334,0.49729174842389701,0.20278972672582071,0.60225265097843463E-1,0.42584420744780541E-1,0.33671192296364547E-1,0.24176118496423555E-1
172,17.878674560999283,0.17245700441933690,0.49811287087863887,0.20238046454916911,0.59764915032126158E-1,0.42481179257348969E-1,0.33226488875087321E-1,0.22767150652161419E-1
173,17.982344625622584,0.17257974417632863,0.49866860290928333,0.20209703869190696,0.59420492511915016E-1,0.42433051678860030E-1,0.33063561362140836E-1,0.22391484988129873E-1
174,18.086014690245886,0.17266409468152416,0.49906031474315171,0.20189303248760515,0.59174422156884954E-1,0.42398402979419027E-1,0.32947151112227409E-1,0.22124416038461620E-1
175,18.189684754869187,0.17271059148203316,0.49928865415860735,0.20176834377248767,0.59026266055128333E-1,0.42377234370907610E-1,0.32877099846131547E-1,0.21964563539010325E-1
176,18.293354819492489,0.17271955474125555,0.49935401132799145,0.20172291037565312,0.58975760634665107E-1,0.42369546457789717E-1,0.32853312265469434E-1,0.21911101455613161E-1
177,18.397024884115790,0.17269109065548960,0.49925652041420998,0.20175671008287385,0.59022816186814944E-1,0.42375339253345586E-1,0.32875755985445419E-1,0.21963753634017487E-1
178,18.500694948739092,0.17262509192791214,0.49899606010589792,0.20186976062374951,0.59167516704024377E-1,0.42394612185118398E-1,0.32944461511530812E-1,0.22122792345753813E-1
179,18.604365013362393,0.17252123730226887,0.49857225309384667,0.20206211968219628,0.59410120031854224E-1,0.42427364089584835E-1,0.33059522260183424E-1,0.22389039722253409E-1
180,18.708035077985695,0.17237899015396627,0.49798446448605882,0.20233388493028753,0.59751058335403347E-1,0.42473593196038870E-1,0.33221094623486394E-1,0.22763872084806725E-1
181,18.812808014587919,0.17220542259192534,0.49712687537709876,0.20272997972647966,0.60207767045987903E-1,0.42573649339509162E-1,0.33662907763064291E-1,0.24170379521545250E-1
182,18.918683823169065,0.17214545858495806,0.49679512334327136,0.20287252289412283,0.60364338699987037E-1,0.42619610885535772E-1,0.33887072234830763E-1,0.24945186036239519E-1
183,19.024559631750211,0.17219123483986432,0.49709362469939700,0.20271827866942324,0.60204838069404049E-1,0.42570127370293309E-1,0.33659565949304387E-1,0.24167697203090779E-1
184,19.129332568352435,0.17234993556368136,0.49792155395101784,0.20231169752159323,0.59745327275261065E-1,0.42467550876840503E-1,0.33215580919191648E-1,0.22759654974675636E-1
185,19.233002632975737,0.17247665125952269,0.49848333940125983,0.20203062308804282,0.59401680782843934E-1,0.42419815805806241E-1,0.33052976726020374E-1,0.22384272318147859E-1
186,19.336672697599038,0.17256497914602889,0.49888118114503616,0.20182894275811805,0.59156355434756086E-1,0.42385555428476641E-1,0.32936874863666199E-1,0.22117451375085383E-1
187,19.440342762222340,0.17261545484823312,0.49911572412517341,0.20170655527180648,0.59008914562497371E-1,0.42364771068749939E-1,0.32867117483497077E-1,0.21957813101835425E-1
188,19.544012826845641,0.17262839867254129,0.49918735576589829,0.20166339934896815,0.58959095784500488E-1,0.42357463443307264E-1,0.32843609698018805E-1,0.21904532510076929E-1
189,19.647682891468943,0.17260391702135827,0.49909620756656498,0.20169945365360842,0.59006810531626111E-1,0.42363632677820381E-1,0.32866319514180828E-1,0.21957334322166143E-1
190,19.751352956092244,0.17254190286537144,0.49884215563430095,0.20181473678149539,0.59152143887021495E-1,0.42383278312374970E-1,0.32935277810590191E-1,0.22116491521537208E-1
191,19.855023020715546,0.17244203527582450,0.49842482015822820,0.20200930727110769,0.59395354740050671E-1,0.42416399296121073E-1,0.33050578358754100E-1,0.22382826790479506E-1
192,19.958693085338847,0.17230377801447097,0.49784356382262474,0.20228326363792645,0.59736876254576646E-1,0.42462993971139590E-1,0.33212377888229359E-1,0.22757716842908258E-1
193,20.063466021941071,0.17213403134397462,0.49699348413235450,0.20268180691827747,0.60194166235245594E-1,0.42563657066665969E-1,0.33654646733069296E-1,0.24164304619913136E-1
194,20.169341830522217,0.17207767208593228,0.49667003068057558,0.20282718610878370,0.60351422925807210E-1,0.42610487475268695E-1,0.33879606117016341E-1,0.24939619174826240E-1
195,20.275217639103364,0.17212701145194056,0.49697671040419206,0.20267588094315711,0.60192683705282121E-1,0.42561894008528174E-1,0.33652987940190796E-1,0.24162977477228675E-1
196,20.379990575705587,0.17228940222851019,0.49781182760877785,0.20227202671755484,0.59733975436429616E-1,0.42459969390429224E-1,0.33209641276098704E-1,0.22755630572276416E-1
197,20.483660640328889,0.17241997478719928,0.49837996588889288,0.20199335559281556,0.59391083159190165E-1,0.42412620929334517E-1,0.33047329694277393E-1,0.22380468337880630E-1
198,20.587330704952191,0.17251216005106126,0.49878420206580676,0.20179406421944016,0.59146494542958089E-1,0.42378744906247524E-1,0.32931512489382003E-1,0.22113849377165831E-1
199,20.691000769575492,0.17256649377605074,0.49902517842978034,0.20167405226342425,0.58999774144571866E-1,0.42358342756243880E-1,0.32862032209778111E-1,0.21954395630232500E-1
200,20.794670834198794,0.17258329643327569,0.49910327979800245,0.20163325936357954,0.58950660778866709E-1,0.42351415307319180E-1,0.32838794354693640E-1,0.21901283002280947E-1
201,20.898340898822095,0.17256267462188810,0.49901863510578559,0.20167166509628998,0.58999067046302825E-1,0.42357962796569837E-1,0.32861767308050155E-1,0.21954237023575469E-1
202,21.002010963445397,0.17250452153977286,0.49877111793682993,0.20178928896360693,0.59145079174908154E-1,0.42377984875591496E-1,0.32930982316195706E-1,0.22113531404012746E-1
203,21.105681028068698,0.17240851651437186,0.49836034599523504,0.20198619040467158,0.59388957176248237E-1,0.42411480605105904E-1,0.33046533509659887E-1,0.22379989474638248E-1
204,21.209351092692000,0.17227412359131619,0.49778567951658953,0.20226246883047849,0.59731135315706986E-1,0.42458448438805182E-1,0.33208577968809827E-1,0.22754988523746168E-1
205,21.314124029294224,0.17210807652223373,0.49694313556993203,0.20266362116915743,0.60189097239556393E-1,0.42559734428106406E-1,0.33651354916102903E-1,0.24161853613558253E-1
206,21.419999837875370,0.17205523410146886,0.49662808936312519,0.20281194617187237,0.60347082354203017E-1,0.42607442657350218E-1,0.33877127978731533E-1,0.24937775355666596E-1
207,21.525875646456516,0.17210807652223378,0.49694313556993164,0.20266362116915734,0.60189097239556358E-1,0.42559734428106386E-1,0.33651354916102882E-1,0.24161853613558239E-1
208,21.630648583058740,0.17227412359131616,0.49778567951658953,0.20226246883047819,0.59731135315706896E-1,0.42458448438805113E-1,0.33208577968809716E-1,0.22754988523746165E-1
209,21.734318647682041,0.17240851651437181,0.49836034599523449,0.20198619040467097,0.59388957176248140E-1,0.42411480605105821E-1,0.33046533509659776E-1,0.22379989474638224E-1
210,21.837988712305343,0.17250452153977267,0.49877111793682921,0.20178928896360632,0.59145079174908070E-1,0.42377984875591385E-1,0.32930982316195616E-1,0.22113531404012739E-1
211,21.941658776928644,0.17256267462188810,0.49901863510578459,0.20167166509628934,0.58999067046302672E-1,0.42357962796569663E-1,0.32861767308050058E-1,0.21954237023575442E-1
212,22.045328841551946,0.17258329643327555,0.49910327979800179,0.20163325936357859,0.58950660778866557E-1,0.42351415307319007E-1,0.32838794354693550E-1,0.21901283002280909E-1
213,22.148998906175247,0.17256649377605041,0.49902517842977889,0.20167405226342325,0.58999774144571707E-1,0.42358342756243741E-1,0.32862032209777965E-1,0.21954395630232486E-1
214,22.252668970798549,0.17251216005106101,0.49878420206580532,0.20179406421943910,0.59146494542957929E-1,0.42378744906247316E-1,0.32931512489381913E-1,0.22113849377165800E-1
215,22.356339035421851,0.17241997478719912,0.49837996588889155,0.20199335559281437,0.59391083159189936E-1,0.42412620929334309E-1,0.33047329694277296E-1,0.22380468337880603E-1
