cell,x_left_cm,x_right_cm,dx_cm,flux_g1,flux_g2,flux_g3,flux_g4,flux_g5,flux_g6,flux_g7,sigTR_g1,sigTR_g2,sigTR_g3,sigTR_g4,sigTR_g5,sigTR_g6,sigTR_g7,Rrem_g1,Rrem_g2,Rrem_g3,Rrem_g4,Rrem_g5,Rrem_g6,Rrem_g7
11,1.0433178781065526,1.1469879427298542,0.10367006462330143,0.19754895924413851,0.53717946457611332,0.20978400509798900,0.58093591133858910E-1,0.25896277492734536E-1,0.87693077929553755E-2,0.48471752604993847E-2,0.18304500000000001,0.33670499999999998,0.50050700000000004,0.60617399999999999,0.50275400000000003,0.92102799999999996,0.95523100000000005,0.51540902393799999E-1,0.63019026006000001E-2,0.38714900000000003E-1,0.13815300000000000,0.21698327892800001,0.67341359999999995,0.69913809999999998
12,1.1469879427298542,1.2506580073531557,0.10367006462330143,0.19740106465278659,0.53698018846846307,0.20990056828165227,0.58248455278066061E-1,0.25960586820483026E-1,0.90481756960724361E-2,0.49672262418179606E-2,0.18304500000000001,0.33670499999999998,0.50050700000000004,0.60617399999999999,0.50275400000000003,0.92102799999999996,0.95523100000000005,0.51540902393799999E-1,0.63019026006000001E-2,0.38714900000000003E-1,0.13815300000000000,0.21698327892800001,0.67341359999999995,0.69913809999999998
13,1.2506580073531557,1.3565338159343032,0.10587580858114758,0.19720029246438570,0.53651456178186208,0.21015763108339597,0.58548014624458480E-1,0.26145149510059366E-1,0.95885599373500153E-2,0.53957800555057608E-2,0.15920599999999999,0.41297000000000000,0.59031000000000000,0.58435000000000004,0.71799999999999997,1.2544500000000001,2.6503800000000002,0.11472832308400001,0.13063568909999995,0.24505389999999996,0.49332160000000003,0.57886203700000005,0.55453670000000010,0.16967900000000000
14,1.3565338159343032,1.4624096245154508,0.10587580858114758,0.19713253027513528,0.53665959889340120,0.21007446133942889,0.58478988884516130E-1,0.26054938224059038E-1,0.96661313410316037E-2,0.54363649379041493E-2,0.15920599999999999,0.41297000000000000,0.59031000000000000,0.58435000000000004,0.71799999999999997,1.2544500000000001,2.6503800000000002,0.11472832308400001,0.13063568909999995,0.24505389999999996,0.49332160000000003,0.57886203700000005,0.55453670000000010,0.16967900000000000
15,1.4624096245154508,1.5682854330965983,0.10587580858114758,0.19718585664405214,0.53746788359375919,0.20962643309249870,0.58043412744348051E-1,0.25654992867380912E-1,0.91962529910415529E-2,0.48814733643489875E-2,0.15920599999999999,0.41297000000000000,0.59031000000000000,0.58435000000000004,0.71799999999999997,1.2544500000000001,2.6503800000000002,0.11472832308400001,0.13063568909999995,0.24505389999999996,0.49332160000000003,0.57886203700000005,0.55453670000000010,0.16967900000000000
16,1.5682854330965983,1.6719554977198998,0.10367006462330143,0.19737127568970184,0.53879228408166058,0.20887865469087097,0.57232702013053013E-1,0.25056011764115402E-1,0.83235890942146579E-2,0.41146545717406398E-2,0.18304500000000001,0.33670499999999998,0.50050700000000004,0.60617399999999999,0.50275400000000003,0.92102799999999996,0.95523100000000005,0.51540902393799999E-1,0.63019026006000001E-2,0.38714900000000003E-1,0.13815300000000000,0.21698327892800001,0.67341359999999995,0.69913809999999998
17,1.6719554977198998,1.7756255623432013,0.10367006462330143,0.19750961762852967,0.53976282623106375,0.20831622472297051,0.56560006154779907E-1,0.24651509871351705E-1,0.77527403217390982E-2,0.38000478711588360E-2,0.18304500000000001,0.33670499999999998,0.50050700000000004,0.60617399999999999,0.50275400000000003,0.92102799999999996,0.95523100000000005,0.51540902393799999E-1,0.63019026006000001E-2,0.38714900000000003E-1,0.13815300000000000,0.21698327892800001,0.67341359999999995,0.69913809999999998
18,1.7756255623432013,1.8792956269665029,0.10367006462330143,0.19759364114206962,0.54053277886067042,0.20786939871594590,0.56029866383921233E-1,0.24328434414183295E-1,0.73297720614682333E-2,0.35643251436576736E-2,0.18304500000000001,0.33670499999999998,0.50050700000000004,0.60617399999999999,0.50275400000000003,0.92102799999999996,0.95523100000000005,0.51540902393799999E-1,0.63019026006000001E-2,0.38714900000000003E-1,0.13815300000000000,0.21698327892800001,0.67341359999999995,0.69913809999999998
19,1.8792956269665029,1.9829656915898044,0.10367006462330143,0.19762613495668663,0.54110571615593128,0.20753788140389681,0.55640874034656326E-1,0.24085712107002846E-1,0.70463691673629319E-2,0.34025711111721445E-2,0.18304500000000001,0.33670499999999998,0.50050700000000004,0.60617399999999999,0.50275400000000003,0.92102799999999996,0.95523100000000005,0.51540902393799999E-1,0.63019026006000001E-2,0.38714900000000003E-1,0.13815300000000000,0.21698327892800001,0.67341359999999995,0.69913809999999998
20,1.9829656915898044,2.0866357562131057,0.10367006462330143,0.19760899773198187,0.54148409583949431,0.20732145342292035,0.55391995689677440E-1,0.23922534454347482E-1,0.68969677725288590E-2,0.33114102918949018E-2,0.18304500000000001,0.33670499999999998,0.50050700000000004,0.60617399999999999,0.50275400000000003,0.92102799999999996,0.95523100000000005,0.51540902393799999E-1,0.63019026006000001E-2,0.38714900000000003E-1,0.13815300000000000,0.21698327892800001,0.67341359999999995,0.69913809999999998
21,2.0866357562131057,2.1903058208364072,0.10367006462330143,0.19754327276943984,0.54166930244478007,0.20721997116233842,0.55282570403389873E-1,0.23838355213782029E-1,0.68786451241679997E-2,0.32889364278856142E-2,0.18304500000000001,0.33670499999999998,0.50050700000000004,0.60617399999999999,0.50275400000000003,0.92102799999999996,0.95523100000000005,0.51540902393799999E-1,0.63019026006000001E-2,0.38714900000000003E-1,0.13815300000000000,0.21698327892800001,0.67341359999999995,0.69913809999999998
22,2.1903058208364072,2.2939758854597088,0.10367006462330143,0.19742916687103967,0.54166167082171812,0.20723336666729136,0.55312307926211605E-1,0.23832888646059085E-1,0.69910617785471666E-2,0.33346725470328018E-2,0.18304500000000001,0.33670499999999998,0.50050700000000004,0.60617399999999999,0.50275400000000003,0.92102799999999996,0.95523100000000005,0.51540902393799999E-1,0.63019026006000001E-2,0.38714900000000003E-1,0.13815300000000000,0.21698327892800001,0.67341359999999995,0.69913809999999998
23,2.2939758854597088,2.3976459500830103,0.10367006462330143,0.19726605372354433,0.54146049034430688,0.20736164759259912,0.55481287925185613E-1,0.23906108548797565E-1,0.72364550110772348E-2,0.34495608213244511E-2,0.18304500000000001,0.33670499999999998,0.50050700000000004,0.60617399999999999,0.50275400000000003,0.92102799999999996,0.95523100000000005,0.51540902393799999E-1,0.63019026006000001E-2,0.38714900000000003E-1,0.13815300000000000,0.21698327892800001,0.67341359999999995,0.69913809999999998
24,2.3976459500830103,2.5013160147063118,0.10367006462330143,0.19705246187491876,0.54106398990298665,0.20760489720784361,0.55789960198809774E-1,0.24058248070605158E-1,0.76196833126597517E-2,0.36359820055484652E-2,0.18304500000000001,0.33670499999999998,0.50050700000000004,0.60617399999999999,0.50275400000000003,0.92102799999999996,0.95523100000000005,0.51540902393799999E-1,0.63019026006000001E-2,0.38714900000000003E-1,0.13815300000000000,0.21698327892800001,0.67341359999999995,0.69913809999999998
25,2.5013160147063118,2.6071918232874594,0.10587580858114758,0.19680093034221752,0.54039419455657767,0.20799992178280638,0.56235666425596333E-1,0.24342885925992121E-1,0.82516691478454977E-2,0.41378479481276945E-2,0.15920599999999999,0.41297000000000000,0.59031000000000000,0.58435000000000004,0.71799999999999997,1.2544500000000001,2.6503800000000002,0.11472832308400001,0.13063568909999995,0.24505389999999996,0.49332160000000003,0.57886203700000005,0.55453670000000010,0.16967900000000000
26,2.6071918232874594,2.7130676318686069,0.10587580858114758,0.19668516696337110,0.54031983553331120,0.20804701686575569,0.56298704762245869E-1,0.24370369732786435E-1,0.84569311959447942E-2,0.43442262267838509E-2,0.15920599999999999,0.41297000000000000,0.59031000000000000,0.58435000000000004,0.71799999999999997,1.2544500000000001,2.6503800000000002,0.11472832308400001,0.13063568909999995,0.24505389999999996,0.49332160000000003,0.57886203700000005,0.55453670000000010,0.16967900000000000
27,2.7130676318686069,2.8189434404497544,0.10587580858114758,0.19669021735000194,0.54091606901925027,0.20770995765611242,0.55982958883199575E-1,0.24087335500732866E-1,0.81350044342889533E-2,0.40081468404032606E-2,0.15920599999999999,0.41297000000000000,0.59031000000000000,0.58435000000000004,0.71799999999999997,1.2544500000000001,2.6503800000000002,0.11472832308400001,0.13063568909999995,0.24505389999999996,0.49332160000000003,0.57886203700000005,0.55453670000000010,0.16967900000000000
28,2.8189434404497544,2.9226135050730560,0.10367006462330143,0.19682400064709077,0.54205612621039323,0.20704706485058663,0.55281370998014688E-1,0.23586547285140789E-1,0.74063798441308002E-2,0.34221328123416922E-2,0.18304500000000001,0.33670499999999998,0.50050700000000004,0.60617399999999999,0.50275400000000003,0.92102799999999996,0.95523100000000005,0.51540902393799999E-1,0.63019026006000001E-2,0.38714900000000003E-1,0.13815300000000000,0.21698327892800001,0.67341359999999995,0.69913809999999998
