cell,x_cm,g1,g2,g3,g4,g5,g6,g7
32,3.3099999725818630,0.31264612952350085E+20,0.85472241156499227E+20,0.32119243474413715E+20,0.83831578656908759E+19,0.35344996359540398E+19,0.97920350301254886E+18,0.44571417868200941E+18
33,3.4144444167613979,0.31239678007570330E+20,0.85455785810736169E+20,0.32104696226395587E+20,0.83769447878963395E+19,0.35293120653625370E+19,0.98369790606223334E+18,0.44770102851173331E+18
34,3.5188888609409328,0.31207264552983192E+20,0.85408734306092564E+20,0.32108172532165784E+20,0.83921010278538086E+19,0.35359370378916449E+19,0.10071451383036746E+19,0.45909387002164947E+18
35,3.6233333051204677,0.31167220798889509E+20,0.85330915727063958E+20,0.32129675645563949E+20,0.84286679279911987E+19,0.35543959284394107E+19,0.10500163700350807E+19,0.48013267204472826E+18
36,3.7277777493000026,0.31119266130985112E+20,0.85221997623104684E+20,0.32169220882861167E+20,0.84867445808399626E+19,0.35847496823067520E+19,0.11131714334860436E+19,0.51126074229913619E+18
37,3.8333333035310106,0.31066129939101811E+20,0.85063732005675172E+20,0.32232727264932868E+20,0.85658703941329398E+19,0.36368079847064079E+19,0.12144354713568527E+19,0.59152418923620928E+18
38,3.9399999678134909,0.31035506346179736E+20,0.84994716188109505E+20,0.32238184464354578E+20,0.85832675620261816E+19,0.36493789840906332E+19,0.12510220030655301E+19,0.62922593948220646E+18
39,4.0466666320959721,0.31024232157354758E+20,0.85032619444756759E+20,0.32179908880075346E+20,0.85397013787148063E+19,0.36127507457498660E+19,0.12067032613467768E+19,0.58468778905752640E+18
40,4.1522221863269797,0.31032807767951970E+20,0.85162918272056082E+20,0.32067904615718027E+20,0.84341799276355584E+19,0.35403724861599109E+19,0.10991887204796445E+19,0.50009420130351840E+18
41,4.2566666305065146,0.31033688021098443E+20,0.85247234293502902E+20,0.31984298347827106E+20,0.83493626525646234E+19,0.34933353129876925E+19,0.10305357042651845E+19,0.46646843443210886E+18
42,4.3611110746860495,0.31026820101215527E+20,0.85300769605647991E+20,0.31918644611767624E+20,0.82858451446755973E+19,0.34579828669303598E+19,0.98179024893052442E+18,0.44264079676155149E+18
