cell,x_cm,g1,g2,g3,g4,g5,g6,g7
61,8.4213808437543420,0.19212430285808074,0.66676963469145156,0.23083620079734501,0.58054632671668965E-1,0.61800766411081148E-1,0.29269861687633233E-1,0.90506961177941100E-2
62,8.5546709268414425,0.19010451029763542,0.66260828182722531,0.23396959660220240,0.57894734623205935E-1,0.63122275131170857E-1,0.30383043527756299E-1,0.99845688534871118E-2
63,8.6879610099285465,0.18627465901309787,0.65408033578719982,0.23509975711644790,0.60943711525824201E-1,0.63799593880941113E-1,0.32501249317970660E-1,0.11722906950358294E-1
64,8.8340129079079581,0.18195022898624252,0.64311782669322848,0.24161767664572950,0.65497702689768691E-1,0.66177542521704102E-1,0.36033551158748817E-1,0.14952428990018115E-1
65,8.9928266207796774,0.18124912041809804,0.64086906273169020,0.24142653985768706,0.65483290733078375E-1,0.65266309256416744E-1,0.36861042153914218E-1,0.15367098340468776E-1
66,9.1388785187590891,0.18521951037959133,0.64813095441195601,0.23534677121599659,0.60995632370918124E-1,0.62082283879452818E-1,0.31761302321030402E-1,0.11254918456387021E-1
67,9.2721686018461931,0.18833903883947042,0.65461299480882051,0.23289214790670720,0.59750076872736452E-1,0.61101012629785748E-1,0.31202624599513815E-1,0.90894330152667055E-2
68,9.4054586849332935,0.18984845458804542,0.65558630597873835,0.22886966248807616,0.58802767934551858E-1,0.60515623210576928E-1,0.30035051992640185E-1,0.82390229097437494E-2
69,9.5387487680203975,0.18951035250324047,0.65235919420017852,0.22902737080588717,0.58930261945591159E-1,0.60958929404985450E-1,0.29214307829660644E-1,0.81907641760534441E-2
70,9.6720388511074979,0.18794413971476506,0.65340705486079531,0.22801745699417109,0.57568351259782852E-1,0.60020528315835091E-1,0.29338962330402559E-1,0.83653672463430764E-2
71,9.8053289341946019,0.18842102171064712,0.65016994138007811,0.23064963753809301,0.57422039060617290E-1,0.60999206999256678E-1,0.29962495780693349E-1,0.93221211533817527E-2
72,9.9386190172817024,0.18525032598134011,0.64623694141980415,0.23254522896689883,0.61126960116379123E-1,0.60724280920005737E-1,0.31847795430779709E-1,0.10987695875516085E-1
73,10.084670915261114,0.18029619713867179,0.63293920982926344,0.23692120788885987,0.64343969881464971E-1,0.62992988246061019E-1,0.35210691882244002E-1,0.14498863600564026E-1
74,10.243484628132837,0.17844064222153094,0.63287065700258527,0.23713977948257578,0.64318943567269304E-1,0.62487864699982500E-1,0.34316342443752895E-1,0.14215641454117673E-1
75,10.389536526112249,0.18390811699051077,0.64322204608119871,0.23394854830467107,0.60586136114792549E-1,0.60628745192422520E-1,0.30840664599184373E-1,0.10342273266318163E-1
76,10.522826609199349,0.18585115338588801,0.64779958284099515,0.22974550412530059,0.59403262602236516E-1,0.58226870144168025E-1,0.29466397052058869E-1,0.88582114663244334E-2
77,10.656116692286453,0.18746142483885195,0.64935740298458045,0.22759579491455839,0.58841541358492101E-1,0.57183742912930803E-1,0.28454536250531105E-1,0.81538411305485409E-2
78,10.789406775373553,0.18609507605443645,0.64762120226776509,0.22764300223870410,0.59168423653869526E-1,0.57338523151419622E-1,0.28181713477679012E-1,0.77707580732005533E-2
79,10.922696858460657,0.18553079855135193,0.64450527177344508,0.22556939120884706,0.58825701299205661E-1,0.57513765907691472E-1,0.28613345909551013E-1,0.81346361111803052E-2
80,11.055986941547758,0.18398902428517150,0.64182734621065229,0.22721620301180956,0.59340637498440929E-1,0.57594997124934405E-1,0.29148943975607907E-1,0.86289254654789652E-2
81,11.189277024634862,0.18214594540579532,0.63626407022350029,0.22928763930253127,0.60407888534321469E-1,0.58745580021057911E-1,0.30996260002757004E-1,0.10214542677143576E-1
82,11.335328922614273,0.17663791841693904,0.62483773305911894,0.23161911405467275,0.63061822847530924E-1,0.60754707990712954E-1,0.34755636152091339E-1,0.14679301062477203E-1
83,11.494142635485993,0.17592125181587040,0.62512256386722376,0.23143940174727565,0.62589132601462122E-1,0.61098255417830510E-1,0.34327646531475409E-1,0.15077381674259141E-1
84,11.640194533465404,0.17929598342575781,0.63184315560703064,0.22569522663766303,0.58886803144848371E-1,0.58502927713522203E-1,0.30249544936780001E-1,0.11015410571308065E-1
85,11.773484616552508,0.18048045336225924,0.63691646764990129,0.22294164466521735,0.57953659351163672E-1,0.58351200664259452E-1,0.28948132008594848E-1,0.88946410948557205E-2
86,11.906774699639609,0.18074244938700626,0.63824321125305328,0.22162098188296786,0.57641335730864898E-1,0.57838580173324439E-1,0.28186199364901608E-1,0.81501115988367265E-2
87,12.040064782726713,0.18230990607747877,0.63419797232651565,0.22011433532922295,0.56178571365639585E-1,0.56162392364822247E-1,0.28240094717195529E-1,0.80268397997311138E-2
88,12.173354865813813,0.18109919501262028,0.63068189297490285,0.21866381270851634,0.55819246384791008E-1,0.56017174221803842E-1,0.27916480421733527E-1,0.80310082983817126E-2
89,12.306644948900917,0.17934470259163174,0.62969726236287915,0.21914399570081308,0.56318385806402076E-1,0.57696400930860432E-1,0.28328587549934271E-1,0.84462057103332870E-2
90,12.439935031988018,0.17889721465111111,0.62174640624798627,0.22061675044616624,0.58199721305851923E-1,0.57698192737960514E-1,0.30316724481475800E-1,0.97425365832616521E-2
91,12.585986929967429,0.17211529051504856,0.60971780764430095,0.22382743932587706,0.61596075789750265E-1,0.59135516178766535E-1,0.33064929086337007E-1,0.13534201963409914E-1
92,12.744800642839152,0.17156655354773165,0.60781972931392092,0.22579772653117366,0.60992983428988581E-1,0.58267282553840199E-1,0.33275675065299208E-1,0.13683445348605652E-1
93,12.890852540818564,0.17449865820752689,0.61564212350654646,0.22121246973604736,0.57677831996082708E-1,0.56230422050159316E-1,0.29077845547841819E-1,0.99791927685711195E-2
94,13.024142623905664,0.17539653250695872,0.62295388160987542,0.21814143926085966,0.54678454872924533E-1,0.54707790415013904E-1,0.26851040945507006E-1,0.81352311994521490E-2
95,13.157432706992768,0.17643657068255411,0.62083029487539765,0.21713351801596514,0.53327100946493268E-1,0.55158276612032611E-1,0.26244361956632250E-1,0.73473876771138055E-2
96,13.290722790079869,0.17543797228513019,0.61791251810489511,0.21658934996609655,0.53765984783897817E-1,0.54597664757370004E-1,0.26296356665759205E-1,0.69473456621160379E-2
97,13.424012873166973,0.17541477126417662,0.61713715306045092,0.21577595821949647,0.54356138093567312E-1,0.54521713063829441E-1,0.26442515066823640E-1,0.72124595963015082E-2
98,13.557302956254073,0.17395186044407102,0.61356764860393731,0.21765311705858392,0.54547914489947349E-1,0.55060805868145699E-1,0.27315105848243825E-1,0.74662565590208211E-2
99,13.690593039341177,0.17191660030820602,0.61113177105177807,0.21763743765856702,0.57073774938357101E-1,0.56136697540642773E-1,0.28856917362433517E-1,0.90404470793956863E-2
100,13.836644937320589,0.16583389072656304,0.59890194782308359,0.22241429115693345,0.60262709016029078E-1,0.57372395409571036E-1,0.31852327537076418E-1,0.12391658419571169E-1
101,13.995458650192308,0.16638382418159670,0.59469093039013632,0.22233517023190422,0.60662244026854578E-1,0.56647226809470132E-1,0.30935326363482129E-1,0.12383690424070327E-1
102,14.141510548171720,0.17086611347278002,0.60156673311710884,0.21716189343685069,0.57433310326108808E-1,0.53799628249762720E-1,0.27189293664271457E-1,0.94383216263208541E-2
103,14.274800631258824,0.17171219690828374,0.61040989893907294,0.21546215343197808,0.55131437673324221E-1,0.53119348643249249E-1,0.25727740454038309E-1,0.78376668059653987E-2
104,14.408090714345924,0.17193664710760764,0.60491960700493452,0.21592862839845511,0.53898589183029422E-1,0.53118933507466548E-1,0.24971709087450694E-1,0.69902966915613299E-2
105,14.541380797433028,0.17218184473402320,0.60618604655976871,0.21481790034847481,0.53249369223347276E-1,0.52461901425830855E-1,0.24220351202171659E-1,0.66963092602728815E-2
106,14.674670880520129,0.17212047186950064,0.60755967072567807,0.21481257434392234,0.53039210846611597E-1,0.52238894883002623E-1,0.24260099607863322E-1,0.65431270028986034E-2
107,14.807960963607233,0.16936510391834977,0.60185837176327972,0.21446492736505374,0.53571358193082820E-1,0.53282339540738834E-1,0.25105363131199408E-1,0.67035539922994337E-2
