cell,x_cm,g1,g2,g3,g4,g5,g6,g7
47,4.8471269324776722,0.19739274798314742E+20,0.55780009881796116E+20,0.22686176776867484E+20,0.67227411533660959E+19,0.48560986445041254E+19,0.38422600327369708E+19,0.26314023525114199E+19
48,4.9507969971009738,0.19716472412859826E+20,0.55722580434301526E+20,0.22713943582877778E+20,0.67570859959282985E+19,0.48580528253659279E+19,0.38568458041242168E+19,0.26718322888442112E+19
49,5.0555699337031985,0.19690273959202890E+20,0.55635430092514918E+20,0.22755322687548223E+20,0.68043701029362125E+19,0.48639166627669975E+19,0.38993029619610353E+19,0.28266236375465498E+19
50,5.1614457422843465,0.19677351579883082E+20,0.55607549770936820E+20,0.22768312327540040E+20,0.68182703607288003E+19,0.48622643947952517E+19,0.39137865698807931E+19,0.29039097590065669E+19
51,5.2673215508654945,0.19676516003933766E+20,0.55649571850510836E+20,0.22748369130248610E+20,0.67971222965832100E+19,0.48505625629849416E+19,0.38777609367588132E+19,0.28027831647983375E+19
52,5.3720944874677192,0.19688297988061327E+20,0.55749364514598617E+20,0.22700679846583181E+20,0.67428096260592927E+19,0.48351041280963830E+19,0.38211697152696986E+19,0.26340403746910725E+19
53,5.4757645520910208,0.19696110572233376E+20,0.55818013927466820E+20,0.22667309750568473E+20,0.67016699074140867E+19,0.48274167553192714E+19,0.37998684064772823E+19,0.25886066564583869E+19
54,5.5794346167143223,0.19699513011523461E+20,0.55867844417982857E+20,0.22642849892129378E+20,0.66716286590449101E+19,0.48212655771906806E+19,0.37839179236090470E+19,0.25557343324771026E+19
55,5.6831046813376238,0.19698570718894293E+20,0.55898940919951507E+20,0.22627287955562697E+20,0.66526324018690580E+19,0.48166499840503286E+19,0.37732963576084905E+19,0.25352540082685204E+19
56,5.7867747459609253,0.19693324287034720E+20,0.55911358672180961E+20,0.22620616120917283E+20,0.66446473251434854E+19,0.48135693025128509E+19,0.37679890334646062E+19,0.25270603557911173E+19
57,5.8904448105842269,0.19683789670492852E+20,0.55905123424514449E+20,0.22622831059291152E+20,0.66476592253176934E+19,0.48120227972772721E+19,0.37679884975763845E+19,0.25311115595321830E+19
58,5.9941148752075284,0.19669958259042607E+20,0.55880231521350443E+20,0.22633933930767319E+20,0.66616734803496110E+19,0.48120096717201050E+19,0.37732945101148657E+19,0.25474290971024891E+19
59,6.0977849398308299,0.19651796842640601E+20,0.55836649863059169E+20,0.22653930384985727E+20,0.66867150594376970E+19,0.48135290672741263E+19,0.37839140423941002E+19,0.25760978531731364E+19
60,6.2014550044541314,0.19629247467793351E+20,0.55774315745087070E+20,0.22682830564352635E+20,0.67228285681870070E+19,0.48165800615917261E+19,0.37998612792342441E+19,0.26172665673594158E+19
61,6.3062279410563562,0.19603393006795960E+20,0.55681819957061435E+20,0.22725470298801992E+20,0.67718859263370578E+19,0.48242582465878108E+19,0.38450309860832717E+19,0.27734110154245468E+19
62,6.4121037496375042,0.19590745742332531E+20,0.55648161149387563E+20,0.22739599490843898E+20,0.67874410686724147E+19,0.48249386789708595E+19,0.38636351376165320E+19,0.28549831366825047E+19
63,6.5179795582186522,0.19590132083647193E+20,0.55684614787571950E+20,0.22720552673304449E+20,0.67677752667786936E+19,0.48153715043362314E+19,0.38317219157388570E+19,0.27600422211883423E+19
64,6.6227524948208769,0.19602090897307120E+20,0.55779623862619898E+20,0.22673467059731415E+20,0.67147358026427484E+19,0.48013033681686497E+19,0.37778233342200474E+19,0.25961145877842616E+19
65,6.7264225594441784,0.19610160025692570E+20,0.55844240998922183E+20,0.22640619364416094E+20,0.66747726716768502E+19,0.47944339995893012E+19,0.37577286325129139E+19,0.25521546683134408E+19
66,6.8300926240674800,0.19613887616797061E+20,0.55890200757016175E+20,0.22616669228160025E+20,0.66458604197210900E+19,0.47890894836926454E+19,0.37429235753356308E+19,0.25205757803925084E+19
67,6.9337626886907815,0.19613336282241139E+20,0.55917583945659367E+20,0.22601604660987048E+20,0.66279475958380800E+19,0.47852694603521956E+19,0.37333878954383268E+19,0.25012150363903124E+19
68,7.0374327533140830,0.19608544133806440E+20,0.55926442049153802E+20,0.22595418159521460E+20,0.66210023351384125E+19,0.47829735045363497E+19,0.37291084818523233E+19,0.24939727116252083E+19
69,7.1411028179373846,0.19599524955312284E+20,0.55916797421900095E+20,0.22598106702509801E+20,0.66250123011586478E+19,0.47822011280894464E+19,0.37300793691902208E+19,0.24988117196846049E+19
70,7.2447728825606861,0.19586268267175424E+20,0.55888643362085863E+20,0.22609671748970320E+20,0.66399846635592366E+19,0.47829517803014625E+19,0.37363017319139487E+19,0.25157574176357719E+19
71,7.3484429471839876,0.19568739283969393E+20,0.55841944064870261E+20,0.22630119238968013E+20,0.66659461111020370E+19,0.47852248472678861E+19,0.37477838835823780E+19,0.25448977400971366E+19
72,7.4521130118072891,0.19546878764769739E+20,0.55776634454819168E+20,0.22659459597016146E+20,0.67029428999308984E+19,0.47890196500388424E+19,0.37645412810629366E+19,0.25863836628808934E+19
73,7.5568859484095139,0.19521736465136521E+20,0.55680908018538119E+20,0.22702583692778115E+20,0.67528809861262848E+19,0.47979282400349778E+19,0.38113206321263012E+19,0.27430041905669934E+19
74,7.6627617569906619,0.19509719091964809E+20,0.55643750219709104E+20,0.22717144199705739E+20,0.67692661017468344E+19,0.48001691096716605E+19,0.38323884228785326E+19,0.28266836811570939E+19
75,7.7686375655718098,0.19509685553991705E+20,0.55676824445357425E+20,0.22698431997910856E+20,0.67503532501649193E+19,0.47920093674556662E+19,0.38029519961117169E+19,0.27350741067458698E+19
76,7.8734105021740346,0.19522200134612791E+20,0.55768922765239042E+20,0.22651569417935098E+20,0.66979713468292751E+19,0.47788435931482655E+19,0.37506869117534531E+19,0.25738526997691699E+19
77,7.9770805667973352,0.19530887209840292E+20,0.55831098834366112E+20,0.22618909926101012E+20,0.66586121413974886E+19,0.47725048370410547E+19,0.37313229906336133E+19,0.25307169178163057E+19
78,8.0807506314206368,0.19535268195745436E+20,0.55874728271131673E+20,0.22595138525712085E+20,0.66302754973141821E+19,0.47676832753305518E+19,0.37172103885245097E+19,0.24998565907547361E+19
79,8.1844206960439383,0.19535404227524948E+20,0.55899889295554765E+20,0.22580243364500775E+20,0.66129110013070397E+19,0.47643787190602609E+19,0.37083298330005033E+19,0.24811124286314086E+19
80,8.2880907606672398,0.19531332129022874E+20,0.55906631025956831E+20,0.22574217070085136E+20,0.66064877769757338E+19,0.47625909133404774E+19,0.37046691584644844E+19,0.24743877752181586E+19
81,8.3917608252905413,0.19523064578964328E+20,0.55894973667119890E+20,0.22577056745602200E+20,0.66109944289619313E+19,0.47623195391308206E+19,0.37062232966498493E+19,0.24796480993095076E+19
